Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Malawi,MWI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23364392,7.826891085,4.811405424,2.481807318,3.311487186,1.567932826,6.258429775,5.112829401,5.615784242,2.237929378,3.532987556,2.264610268,1.790613661,,,,,,,,,,
Malawi,MWI,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000,,25000,6200,33000,600,343000,9500,84000,20000,117000,30000,600,297000
Malawi,MWI,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5,,61.69154358,,53.73134232,,40.79602051,42.78606796,39.90384674,38.94230652,45.67307663,45.67307663,45.67307663,48.81516647,48.81516647,46.94835663,48.82629013,47.41783905,49.75369644,54.18719101,51.72413635,53.20196915,50.48543549,49.75845337,53.62318802,56.0386467,56.0386467
Malawi,MWI,Voice and Accountability: Estimate,VA.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.088463768,,0.06455116,,-0.133616418,,-0.583100677,-0.428266704,-0.542294264,-0.528102636,-0.252313852,-0.261939287,-0.246654764,-0.14877148,-0.190968171,-0.245419502,-0.206084371,-0.178754002,-0.06420669,-0.004132373,-0.030078597,-0.030692024,-0.075617775,-0.110343345,0.004117197,0.07454396,0.068959244
Malawi,MWI,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124185,3758510,1799982,22798634,1661438,10904212,9982917,1894041,2978941,1071740,1169092,4008678,1317536,4624983,2421297
Malawi,MWI,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,,,,,31.30193906,,12.62886598,13.53965184,13.15789474,16.99958306,14.55114117,29.06278182,27.93073316,26.16936255,21.63266333,17.40954302,12.65318406,14.02692826,12.63965132,10.4890027,13.10890001,17.25524819,14.90135055,23.25002173,18.74402569,18.45376777,18.50832704,16.19418332,20.39460968,16.43937473,14.88230054,10.61129769,12.52315336,15.60295823,15.9545357,16.15300572,25.66554413,20.92858347,21.80762224,19.38056365,21.51678564,24.18562401,21.65038745,29.74011496,31.81559154,29.18112623,32.86364807,36.80426799,23.17945012,25.68493608,21.90567138,32.86801462,21.53762316,24.83107783,34.90896095,33.16233241,30.67330002,27.30953408,29.61080832,28.17000765,29.93059062,,
Malawi,MWI,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,,,,,1.385041551,,,0.773694391,,,,0.052722858,0.08738354,0.074484897,0.00419449,0.05115725,0.027687492,0.41379243,0.626189622,1.60222395,0.872909291,1.190377509,1.410977475,1.04161214,1.210131023,0.241337776,0.786392576,1.458966872,1.086774442,1.014832983,1.246459741,1.312009592,0.477278779,0.562629515,0.665495389,1.624587322,1.001015893,0.637183355,0.969018703,0.543655094,1.893750042,0.660699133,0.641665133,0.888329016,1.615491531,0.747227196,1.073680078,1.740508514,0.685448885,2.97341238,1.71556321,2.21689355,3.78232695,1.491851296,0.503563634,4.915803408,2.9062383,1.674516769,2.224239024,1.779586767,0.406472312,,
Malawi,MWI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,,,,,,,,0.193423598,,,,0.661810614,0.454148257,0.585813647,0.035233717,0.016808811,,,,,,,,,,,,,,,,0.412045414,1.281702007,0.101175121,0.379440622,0.569318101,0.341399493,2.905503257,0.922124366,1.155183879,3.858806073,2.123318071,2.378868088,1.240860258,0.798250774,2.76625715,0.991296879,1.532637144,4.100301664,5.666015662,5.562639762,6.525344108,7.481445733,7.96757284,6.958672434,6.947418825,7.466485443,6.08984916,4.681898977,4.96260062,4.12462171,,
Malawi,MWI,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,,,,,0.27700831,,,,,,,0.119320153,0.326149832,0.452948696,,,,,,,,,,,,,,0.002762644,,0.005780278,0.024160181,3.063675075,1.133737469,2.179375934,2.350800415,0.737002114,2.694416914,3.076326706,5.003825387,1.95972274,4.547390642,11.84983706,7.931699559,5.079293946,5.093368546,3.79016697,5.555245656,2.69248136,3.373129042,6.986973132,9.85377008,5.310267192,8.286656812,4.38760263,7.211657199,8.298803903,5.531999339,8.480830169,8.763348376,11.58964215,6.764862695,,
Malawi,MWI,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149253466,0.469935819,0.026768043,0.008319161,0.109718674,0.153136771,0.223341847,0.35134094,0.164147466,0.238669235,0.363435535,0.243426156,0.083651846,0.060234399,0.628593232,0.132318203,2.696870335,0.080636465,0.052360383,0.363197898,0.108256724,,
